,bio,followers,following,img_url,is_verified,name,source,text,time,tweet_id,user_location,username
74,Imran Khan The Hope Of The Nation/Proud Insafian💪/NA53/Living Near Banigala 😍/Model/Actor/We Are Butt Hum Hadiyaan Torty Hain Dil Nahi ✌💪 #InsafianPower,566,False,http://pbs.twimg.com/profile_images/1066639395300786177/vEzdb-ME_normal.jpg,False,Tiger Of Ik (IMRAN BUTT),"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @kashmiri_kurii: Pic1:- Kashmiri women shout anti-Indian slogans during a protest demonstration against the arrest of a girl by paramili…,Tue Mar 12 15:03:39 +0000 2019,1105484504456679424,Islamabad,TigerofIk1
75,Ex Mariner.,337,False,http://pbs.twimg.com/profile_images/1098886994913054721/1MgwS0mp_normal.jpg,False,Sanjeev Dutt,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @republic: #CongressCollapse | SCOOP: After his son Sujay joins BJP, Congress' Radhakrishna Vikhe Patil may resign as Leader of Oppositi…",Tue Mar 12 15:03:39 +0000 2019,1105484504448319489,भारत,Sanjeev91730967
76,Student | Trembles with indignation at every injustice | Bhukkad,58,False,http://pbs.twimg.com/profile_images/1088620386172887040/ENej-AWg_normal.jpg,False,Raghavendra Yadavalli,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @digitaldutta: All India Democratic Students Organization protesting biometrics systems and #Aadhaar usage in attendance systems. 21,481…",Tue Mar 12 15:03:39 +0000 2019,1105484504393834501,Vetapalem,Raghav96a
77,"GIS architect, Byte crazy with fluency in C++, Rajput, RTs are not endorsements",460,False,http://pbs.twimg.com/profile_images/663644465584705536/7Io9Gs28_normal.png,False,Charvaka,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @muglikar_: Any person who is an employee of the state cannot use any power to curb a fundamental right. They are enforceable against th…,Tue Mar 12 15:03:39 +0000 2019,1105484502804111360,Sitting on my Butt ,krantikaari_p
78,"Don't be blind supporter,think b4 u support any1.
#Respect4motherland
#Support Modi 4 delivery 
#Hate Congress 4 corruption
#Salute to soldiers",504,False,http://pbs.twimg.com/profile_images/1030070527757570048/EZYTgpKq_normal.jpg,False,Suraj🇮🇳,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @ZeeNewsHindi: महागठबंधन से BJP को नहीं होगा घाटा, मोदी फिर बनेंगे PM: ज्योतिषाचार्य का दावा

https://t.co/Nvb5EuGfmH",Tue Mar 12 15:03:38 +0000 2019,1105484502187401216,bhopal,suraj_Hindustan
79,"ManMohan Singh UPA2004 to 2014 corruptions enquiry pending and looters on bails?
Fast trails ans hearing before elections it's rights of people to know Cong cor",71,False,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,False,#SC enquiry congress gotala# #,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@AcharyaPramodk Pappu aur unki Papou congressi?
Andhra fhuske marneke mathlabh congressi piddi ye samjatha!
Modi ne… https://t.co/NZHMzCPPyP",Tue Mar 12 15:03:38 +0000 2019,1105484501860311047,"Maharashtra, India",Anand210599
80,"*Hum Yaha ke Robinhood hain* Salman Khan & Leo Messi Fanboy • Fitness above all💪 • Piano🎹
I write for the love of chai. Click👉 #ChaiWidLove •
2 A/c suspended",461,False,http://pbs.twimg.com/profile_images/1089490722724560896/GK0pEDSQ_normal.jpg,False,Robinhood,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @TrueIndology: 1) This item wanted to ""expose me"". He already stands naked in the first tweet of his thread.

Fake claim 1: ""Sherwan is…",Tue Mar 12 15:03:38 +0000 2019,1105484501482790912,,Ragy_95
81,it's all about logic!!!! I follow the footsteps of Sandy Boy. Kindly follow Sandy Boy @ssingapuri,1207,False,http://pbs.twimg.com/profile_images/1010500823317712896/F5Br3G3S_normal.jpg,False,Sunshine Boy 🇮🇳,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @LaliGanguli: India defies Asia slump as manufacturing hits 14-month high - #WhyModiAgain  https://t.co/1ygjBh4ITA,Tue Mar 12 15:03:38 +0000 2019,1105484500832739328,"Mumbai, India",singpuri
82,Indian. Muslim. Almost Socialist. Daddy's girl for life. History. Travel. Politics. Food.,451,False,http://pbs.twimg.com/profile_images/879297852798681088/UUmALLTs_normal.jpg,False,Shaaista Shaikh,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SpiceJet Defends 737 MAX Amid Grounding, Calls It ""Highly Sophisticated"" 

https://t.co/xWuv85Ouyy",Tue Mar 12 15:03:38 +0000 2019,1105484500665028608,Mumbai,breadandcircus_
83,"Between my past, the present & the future common factor is Relationship and Trust",6600,False,http://pbs.twimg.com/profile_images/1044213996184694784/lq5CGJRg_normal.jpg,False,Rutvik Subhedar,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @MyFellowIndians: #WhyModiAgain

I say WHY NOT ?.. if you want

Lynchings
Rapists being supported
Youth to Sell Pakodas
Fear in minoriti…",Tue Mar 12 15:03:38 +0000 2019,1105484499935215616,,RutvikSubhedar
